25.54,17.47,1.00
22.21,12.29,1.00
20.92,14.03,1.00
26.45,21.21,1.00
14.33,21.70,1.00
16.56,8.80,1.00
16.91,4.92,1.00
18.54,17.46,1.00
19.78,11.90,1.00
18.59,12.33,1.00
12.45,18.02,1.00
23.33,11.59,1.00
13.99,21.17,1.00
10.08,19.65,1.00
18.28,10.56,1.00
12.00,23.78,1.00
22.53,14.95,1.00
11.12,19.63,1.00
23.24,20.94,1.00
20.35,16.80,1.00
33.31,15.93,2.00
25.31,14.66,2.00
23.49,5.73,2.00
24.87,12.55,2.00
30.86,15.22,2.00
28.11,8.52,2.00
24.48,3.80,2.00
30.08,16.81,2.00
30.05,7.98,2.00
27.49,11.21,2.00
12.04,9.87,2.00
34.05,11.98,2.00
23.86,14.25,2.00
19.09,13.47,2.00
26.63,0.26,2.00
22.69,12.00,2.00
22.99,7.89,2.00
25.20,14.62,2.00
25.40,1.92,2.00
21.71,9.75,2.00
